bank,meeting_date,meeting_id,current_decision,current_rate_change_bps,current_policy_rate_after,current_confidence,extraction_method,needs_review,review_reason,qc_priority,suggested_decision,suggested_rate_change_bps,suggested_policy_rate_after,suggested_confidence,suggestion_reason,matched_pattern,matched_excerpt,source_title,source_url,notes
BOC,2025-12-10,BOC_2025_12_B,unknown,,,0.0,unknown,True,confidence below 0.7; decision unknown; rate_change_bps missing; policy_rate_after missing; text_excerpt missing,high,,,,0.0,,,,Interest Rate Announcement,https://www.bankofcanada.ca/2025/12/interest-rate-announcement-december-10-2025/,
BOC,2026-01-28,BOC_2026_01_A,unknown,,,0.0,unknown,True,confidence below 0.7; decision unknown; rate_change_bps missing; policy_rate_after missing; text_excerpt missing,high,,,,0.0,,,,Interest Rate Announcement and Monetary Policy Report,https://www.bankofcanada.ca/2026/01/interest-rate-announcement-and-monetary-policy-report-january-28-2026/,
BOC,2026-03-18,BOC_2026_03_B,unknown,,,0.0,unknown,True,confidence below 0.7; decision unknown; rate_change_bps missing; policy_rate_after missing; text_excerpt missing,high,,,,0.0,,,,Interest Rate Announcement,https://www.bankofcanada.ca/2026/03/interest-rate-announcement-march-18-2026/,
BOC,2026-04-29,BOC_2026_04_A,unknown,,,0.0,unknown,True,confidence below 0.7; decision unknown; rate_change_bps missing; policy_rate_after missing; text_excerpt missing,high,,,,0.0,,,,Interest Rate Announcement and Monetary Policy Report,https://www.bankofcanada.ca/2026/04/interest-rate-announcement-and-monetary-policy-report-april-29-2026/,
NORGES_BANK,2021-06-01,NORGES_BANK_2021_06_A,unknown,,,0.0,unknown,True,confidence below 0.7; decision unknown; rate_change_bps missing; policy_rate_after missing; text_excerpt missing,high,,,,0.0,,,,Pengepolitisk rapport med vurdering av finansiell stabilitet 1/2021,https://www.norges-bank.no/aktuelt/publikasjoner/Pengepolitisk-rapport/2021/ppr-12021/,
NORGES_BANK,2021-06-01,NORGES_BANK_2021_06_B,unknown,,,0.0,unknown,True,confidence below 0.7; decision unknown; rate_change_bps missing; policy_rate_after missing; text_excerpt missing,high,,,,0.0,,,,Pengepolitisk rapport med vurdering av finansiell stabilitet 2/2021,https://www.norges-bank.no/aktuelt/publikasjoner/Pengepolitisk-rapport/2021/ppr-22021/,
NORGES_BANK,2021-06-01,NORGES_BANK_2021_06_C,unknown,,,0.0,unknown,True,confidence below 0.7; decision unknown; rate_change_bps missing; policy_rate_after missing; text_excerpt missing,high,,,,0.0,,,,Pengepolitisk rapport med vurdering av finansiell stabilitet 3/2021,https://www.norges-bank.no/aktuelt/publikasjoner/Pengepolitisk-rapport/2021/ppr-32021/,
NORGES_BANK,2022-06-01,NORGES_BANK_2022_06_A,unknown,,,0.0,unknown,True,confidence below 0.7; decision unknown; rate_change_bps missing; policy_rate_after missing; text_excerpt missing,high,,,,0.0,,,,Pengepolitisk rapport med vurdering av finansiell stabilitet 1/2022,https://www.norges-bank.no/aktuelt/publikasjoner/Pengepolitisk-rapport/2022/ppr-12022/,
NORGES_BANK,2022-06-01,NORGES_BANK_2022_06_B,unknown,,,0.0,unknown,True,confidence below 0.7; decision unknown; rate_change_bps missing; policy_rate_after missing; text_excerpt missing,high,,,,0.0,,,,Pengepolitisk rapport med vurdering av finansiell stabilitet 2/2022,https://www.norges-bank.no/aktuelt/publikasjoner/Pengepolitisk-rapport/2022/ppr-22022/,
NORGES_BANK,2022-06-01,NORGES_BANK_2022_06_C,unknown,,,0.0,unknown,True,confidence below 0.7; decision unknown; rate_change_bps missing; policy_rate_after missing; text_excerpt missing,high,,,,0.0,,,,Pengepolitisk rapport med vurdering av finansiell stabilitet 3/2022,https://www.norges-bank.no/aktuelt/publikasjoner/Pengepolitisk-rapport/2022/ppr-32022/,
NORGES_BANK,2023-06-01,NORGES_BANK_2023_06_A,unknown,,,0.0,unknown,True,confidence below 0.7; decision unknown; rate_change_bps missing; policy_rate_after missing; text_excerpt missing,high,,,,0.0,,,,Pengepolitisk rapport 1/2023,https://www.norges-bank.no/aktuelt/publikasjoner/Pengepolitisk-rapport/2023/ppr-12023/,
NORGES_BANK,2023-06-01,NORGES_BANK_2023_06_B,unknown,,,0.0,unknown,True,confidence below 0.7; decision unknown; rate_change_bps missing; policy_rate_after missing; text_excerpt missing,high,,,,0.0,,,,Pengepolitisk rapport 2/2023,https://www.norges-bank.no/aktuelt/publikasjoner/Pengepolitisk-rapport/2023/ppr-22023/,
NORGES_BANK,2023-06-01,NORGES_BANK_2023_06_C,unknown,,,0.0,unknown,True,confidence below 0.7; decision unknown; rate_change_bps missing; policy_rate_after missing; text_excerpt missing,high,,,,0.0,,,,Pengepolitisk rapport 3/2023,https://www.norges-bank.no/aktuelt/publikasjoner/Pengepolitisk-rapport/2023/ppr-32023/,
NORGES_BANK,2024-06-01,NORGES_BANK_2024_06_A,unknown,,,0.0,unknown,True,confidence below 0.7; decision unknown; rate_change_bps missing; policy_rate_after missing; text_excerpt missing,high,,,,0.0,,,,Pengepolitisk rapport 1/2024,,text file missing: data\NORGES_BANK\Monetary Policy\2024-06-01 - Pengepolitisk rapport 1_2024.txt
